,segment_id,start,end,positive,negative
0,0,411,422,0,1
1,2,1390,1407,0,1
2,3,1820,1836,1,0
3,4,1964,1974,0,1
4,5,2972,2989,0,1
5,6,3100,3112,1,0
6,11,5195,5214,1,0
7,12,5438,5483,0,1
8,14,5849,5862,0,1
9,15,5973,6037,0,1
10,18,6331,6383,0,1
11,20,6787,6807,1,0
12,22,7760,7773,0,1
13,23,7945,7956,0,1
