,segment_id,len
53,1,228
63,3,195
65,5,153
7,6,309
35,8,60
43,10,114
19,12,120
10,15,146
28,18,149
4,21,14
51,22,126
61,24,951
20,28,287
1,31,20
39,34,112
27,35,159
12,36,185
30,38,99
16,41,263
11,42,397
3,44,176
9,54,321
52,56,187
57,64,137
49,67,82
5,69,142
32,70,303
64,71,275
17,74,407
37,77,1328
33,81,192
55,83,603
41,85,198
13,86,431
44,87,145
58,88,81
60,89,188
50,90,653
46,92,37
22,94,105
48,96,592
45,98,414
40,103,138
62,104,367
