,segment_id,len
26,2,240
45,3,898
30,6,239
16,7,998
13,10,641
17,13,104
47,14,520
48,16,502
10,18,269
50,20,276
9,23,148
56,24,417
55,26,390
1,28,169
22,29,993
5,32,556
49,34,431
6,37,169
19,39,143
28,41,341
7,43,125
41,45,139
12,48,175
54,55,1277
43,59,80
3,60,206
24,61,9
8,62,103
27,63,98
18,65,109
52,67,393
53,68,169
42,69,258
36,71,160
