,segment_id,len
3,0,96
17,3,407
32,5,905
12,11,185
41,16,63
28,22,105
26,24,156
38,30,132
36,36,149
5,39,150
35,40,188
34,43,119
18,46,202
14,48,0
59,49,45
24,50,100
25,52,383
57,57,90
46,59,630
22,64,205
10,66,18
39,72,236
19,82,25
21,83,17
49,85,305
53,87,142
37,91,127
54,94,546
6,97,288
44,98,431
4,101,132
8,105,625
15,108,62
29,111,114
42,116,59
13,121,119
51,125,171
45,127,265
2,129,108
