,segment_id,len
43,0,372
25,2,633
35,5,1413
10,10,182
41,11,307
1,13,189
17,14,159
38,15,86
32,16,79
5,17,636
11,19,866
15,21,250
7,22,129
0,24,67
31,25,58
33,26,94
4,27,73
9,28,151
8,29,177
16,30,16
27,31,11
23,32,143
2,34,16
37,36,869
13,40,456
12,43,162
29,44,110
21,45,20
36,46,153
