,segment_id,start,end,sadness,joy,love,anger,fear,surprise
0,1,129,153,0.004204189870506525,0.9814355969429016,0.0011906465515494347,0.009820366278290749,0.0028150915168225765,0.0005342334625311196
1,3,259,284,0.003039322094991803,0.9883611798286438,0.0014011259190738201,0.005050561390817165,0.0015358462696895003,0.0006119157769717276
2,5,312,325,0.0007184767164289951,0.9921150803565979,0.004231881350278854,0.0017987039173021913,0.0006538823945447803,0.00048183806939050555
3,6,411,440,0.000780025206040591,0.9977707862854004,0.0004016887687612325,0.0004500101786106825,0.00028096226742491126,0.00031658928492106497
4,8,620,631,0.00279299751855433,0.008113217540085316,0.001832539914175868,0.9563276767730713,0.029830751940608025,0.0011028872104361653
5,10,1371,1385,0.09784971922636032,0.48884281516075134,0.003651635255664587,0.2225346863269806,0.1819026619195938,0.00521851098164916
6,12,1453,1470,0.0034772574435919523,0.9820377826690674,0.001090154517441988,0.011551001109182835,0.0014901026152074337,0.0003536095900926739
7,15,1838,1856,0.01323870848864317,0.014943229034543037,0.0006255685002543032,0.9651641249656677,0.005611620843410492,0.0004167657461948693
8,18,2243,2284,0.9739252328872681,0.0011870315065607429,0.0006097059813328087,0.02359601855278015,0.0003955626452807337,0.00028639231459237635
9,21,2585,2596,0.0004263034206815064,0.9975546002388,0.0009306861320510507,0.0005559345590882003,0.00023669999791309237,0.0002958434051834047
10,22,2631,2650,0.0077219256199896336,0.8886483907699585,0.004352930001914501,0.08847878128290176,0.009072952903807163,0.001725060399621725
11,24,2943,3034,0.0003482427273411304,0.9981253743171692,0.00043982602073810995,0.0003562564088497311,0.00024316106282640249,0.00048712448915466666
12,28,3173,3214,0.0002766414254438132,0.99869304895401,0.0002570748620200902,0.0002153487002942711,0.00019402698671910912,0.00036380960955284536
13,31,4014,4026,0.022546686232089996,0.6477982997894287,0.00806417129933834,0.29504579305648804,0.02417568862438202,0.0023693612311035395
14,34,4154,4168,0.018101690337061882,0.6468427777290344,0.005462064873427153,0.08718033879995346,0.23686735332012177,0.005545781925320625
15,35,4477,4493,0.0023069160524755716,0.990044355392456,0.0008201909367926419,0.004446552600711584,0.001644612057134509,0.000737491762265563
16,36,4592,4610,0.0003480606828816235,0.9986431002616882,0.000358647113898769,0.00029362697387114167,0.00016153250180650502,0.00019505845557432622
17,38,4683,4702,0.015124614350497723,0.7822633981704712,0.049750663340091705,0.1452999860048294,0.005728105548769236,0.001833161455579102
18,41,4781,4806,0.004499008879065514,0.9399176239967346,0.006487132515758276,0.044652070850133896,0.003503865096718073,0.0009403179283253849
19,42,4917,4963,0.0013300065184012055,0.9862748384475708,0.0015068540815263987,0.007208099123090506,0.002743810648098588,0.000936418364290148
20,44,5034,5063,0.026622772216796875,0.739456295967102,0.03942079842090607,0.16721391677856445,0.023684531450271606,0.0036017827223986387
21,54,5520,5578,0.012860085815191269,0.7362564206123352,0.004311082419008017,0.21456682682037354,0.0294453464448452,0.0025602190289646387
22,56,5653,5696,0.0005128064076416194,0.9984637498855591,0.0003049630322493613,0.0002555021201260388,0.00022271162015385926,0.00024025609309319407
23,64,6007,6021,0.0010728404158726335,0.9956660270690918,0.00046820094576105475,0.0016778645804151893,0.000772729457821697,0.000342336279572919
