,segment_id,start,end,sadness,joy,love,anger,fear,surprise
0,2,113,139,0.007107147481292486,0.3048245906829834,0.002699431963264942,0.539094865322113,0.1435440331697464,0.0027299264911562204
1,3,658,718,0.0007369515369646251,0.9972966313362122,0.00036282814107835293,0.0008382303640246391,0.00043481678585521877,0.0003305638092570007
2,6,805,825,0.0016413426492363214,0.9942111372947693,0.0008228181977756321,0.0023062867112457752,0.0007354493136517704,0.00028306504827924073
3,7,949,1029,0.0015430835774168372,0.993743360042572,0.0004983209073543549,0.002450647996738553,0.001286327955313027,0.00047820559120737016
4,10,1351,1425,0.814860999584198,0.03247180953621864,0.001794400974176824,0.14601558446884155,0.004197245929390192,0.0006598778418265283
5,13,1450,1469,0.03943932056427002,0.10229218751192093,0.004348414950072765,0.8466744422912598,0.0063239955343306065,0.0009216569596901536
6,14,1509,1553,0.007714410778135061,0.9573832154273987,0.001303594559431076,0.02413114160299301,0.008166179060935974,0.0013015181757509708
7,16,1804,1871,0.0006706009735353291,0.9976867437362671,0.0003132868732791394,0.0005999007262289524,0.0004322503518778831,0.0002972960064653307
8,18,1907,1931,0.01608242280781269,0.554695188999176,0.003474982688203454,0.4085731506347656,0.01559062022715807,0.0015835955273360014
9,20,1956,1993,0.0008076558005996048,0.9954404830932617,0.00041046825936064124,0.001517819007858634,0.0012811321066692472,0.0005424561095423996
10,23,2187,2198,0.015215464867651463,0.8961052298545837,0.0017061552498489618,0.05342390015721321,0.03148447722196579,0.002064737491309643
11,24,2634,2679,0.0005065985606051981,0.9979466795921326,0.0003224069660063833,0.0005943542346358299,0.00031385867623612285,0.000316265708534047
12,26,2707,2740,0.014651058241724968,0.3799324929714203,0.002576572820544243,0.1798502653837204,0.4188796877861023,0.004109854809939861
13,28,2952,2963,0.0012694158358499408,0.9951030015945435,0.0004882015928160399,0.0018739175284281373,0.0008362115477211773,0.00042926688911393285
14,29,3462,3551,0.004270150326192379,0.9738227128982544,0.0014285073848441243,0.016175204887986183,0.0036208461970090866,0.0006825749878771603
15,32,3580,3629,0.008601844310760498,0.9187590479850769,0.002812325954437256,0.05869518220424652,0.009656461887061596,0.001475082477554679
16,34,4362,4402,0.0003075445129070431,0.998664379119873,0.00028253436903469265,0.00026613884256221354,0.00020655461412388831,0.00027283289819024503
17,37,4582,4598,0.000801139569375664,0.9978305697441101,0.0004146771098021418,0.0004583611444104463,0.0003056810819543898,0.00018964950868394226
18,39,5133,5148,0.00033368344884365797,0.9985494017601013,0.0002766295801848173,0.0002910236071329564,0.00024230005510617048,0.00030686435638926923
19,41,5285,5314,0.0028605160769075155,0.98209547996521,0.0007527797133661807,0.00817925576120615,0.0053177871741354465,0.0007942060474306345
20,43,5384,5396,0.016360975801944733,0.39601343870162964,0.0029615021776407957,0.1356249451637268,0.44343894720077515,0.005600204225629568
21,45,5501,5518,0.00044960531522519886,0.9984715580940247,0.0002817990316543728,0.0002853074111044407,0.0002476284571457654,0.00026415399042889476
22,48,5621,5650,0.0038517238572239876,0.987464189529419,0.0005958647234365344,0.00504946056753397,0.0023271318059414625,0.0007115404587239027
23,55,5971,6091,0.0018330476013943553,0.008610954508185387,0.986536979675293,0.0017328442772850394,0.0006879534921608865,0.0005980986752547324
24,59,6181,6193,0.014512988738715649,0.8558561205863953,0.001959375571459532,0.09803758561611176,0.02686746045947075,0.0027664178051054478
25,60,6775,6789,0.0003746519214473665,0.9985094666481018,0.0002969059569295496,0.0002905203145928681,0.0002295663725817576,0.00029887552955187857
26,61,6810,6822,0.008847006596624851,0.027417561039328575,0.002489690436050296,0.9434018731117249,0.016387589275836945,0.0014562495052814484
27,62,7162,7172,0.0003136491868644953,0.9986585378646851,0.00031411851523444057,0.0002633426629472524,0.00019816950953099877,0.0002519919944461435
28,63,7268,7280,0.0008814235334284604,0.9945934414863586,0.000468955171527341,0.0020105119328945875,0.0011412148596718907,0.0009045021724887192
29,65,7384,7420,0.06652570515871048,0.704768180847168,0.002160992007702589,0.1166912391781807,0.10600651800632477,0.00384741323068738
30,67,7464,7487,0.010703956708312035,0.7877368330955505,0.002367549343034625,0.18151219189167023,0.016016976907849312,0.0016624850686639547
31,68,7774,7795,0.9850135445594788,0.00693980697542429,0.0005745925009250641,0.006448805797845125,0.0007359613664448261,0.0002871788165066391
32,69,7845,7871,0.0042871455661952496,0.0393819659948349,0.0011322457576170564,0.9429332613945007,0.010857225395739079,0.0014080613618716598
33,71,8099,8114,0.001997404731810093,0.9902172088623047,0.0006510487874038517,0.004799926187843084,0.0017527168383821845,0.0005818718345835805
