,anger,disgust,fear,joy,sadness,surprise,neutral,start_patch
0,0.0676855468750006,0.00112548828125,0.07031494140624975,0.3345288085937471,0.17541015624999912,0.021015625000000274,0.3291748046874996,0
1,0.05090380313199086,9.843400447427295e-05,0.08548098434003891,0.3467829977628621,0.24387024608501112,0.021986577181208906,0.2504944071588366,5
2,0.04693573493440122,0.0002890816099621972,0.06030909495218978,0.30059150544807517,0.25969312875250217,0.02662886368690276,0.30470313542361316,10
3,0.07392656203731152,0.0004885993485342023,0.08184187148356425,0.27382884216760284,0.26729049452176373,0.03631033461652434,0.2654338169973347,15
4,0.060674308833445795,0.0003304113283884021,0.06409305461901403,0.4096785794560567,0.20405709148123008,0.0263340076421674,0.23398291750955164,20
5,0.07450482820570313,0.0008219178082191744,0.06360880305412002,0.3527172692566792,0.24117224343139335,0.018331461935774063,0.24799236469795663,25
6,0.06811767357980188,0.0005072137060414787,0.03886609558160556,0.35437105500450666,0.23568079350766422,0.01248872858431018,0.28909377817853876,30
7,0.11664545454545465,0.0004787878787878791,0.06821515151515169,0.20676363636363493,0.25679393939393913,0.01694848484848493,0.3337727272727259,35
8,0.05669554140127466,0.0002140127388535033,0.044086624203821846,0.3642267515923555,0.30240764331210146,0.017793630573248453,0.21395923566878983,40
9,0.09593428699150688,0.00018775145283862326,0.07820742065265958,0.2916651765757653,0.21039114886008095,0.0315511846222626,0.29129190880643413,45
10,0.08981059751972843,0.000550169109357384,0.06605862457722539,0.29553776775648133,0.23374971815107085,0.03326268320180377,0.28048027057497277,50
11,0.1020859444941793,0.0007430617726051906,0.07244180841539691,0.2741651745747502,0.26140107430617526,0.02662264995523808,0.2618666069829889,55
12,0.05068726053639897,0.00024185823754789288,0.03591235632183966,0.4800407088122615,0.1749233716475086,0.014877873563218394,0.24194923371647353,60
13,0.05226150011330166,0.0004849308860185812,0.04197824609109331,0.38635848629050346,0.18136868343530585,0.0185066847949249,0.31816451393609896,65
14,0.06431104720824345,0.0006470165348670008,0.04204409297867204,0.39875149772346125,0.15029954469206672,0.01509225976515695,0.3281500119817856,70
15,0.08598781549172947,0.0004177545691906007,0.03979692486219931,0.3010095735422085,0.2395300261096601,0.018914998549463276,0.31371627502175803,75
16,0.08534725594949005,0.00020155415250121427,0.06483487129674553,0.2619329771733805,0.24124817872753684,0.019567751335599955,0.3263016027197653,80
17,0.21459178367134615,0.0005174206968278734,0.129030161206447,0.11686947477899012,0.3003926157046275,0.03548101924077001,0.20196047841913461,85
18,0.27130413625304034,0.0004793187347931877,0.094009732360097,0.10181265206812509,0.21041605839415978,0.022654501216545213,0.2983868613138685,90
19,0.14508291655698702,0.001158199526191097,0.09406422742826952,0.16450908133719258,0.3291945248749672,0.03370623848381219,0.2312555935772579,95
20,0.15757168866636215,0.0006281292671825189,0.09613336367774168,0.14252162039143842,0.32846836595357237,0.023948566226673195,0.2498452435138805,100
21,0.1821836007130071,0.000697415329768268,0.08149286987522157,0.14218805704099716,0.2904166666666666,0.011410427807486613,0.2904211229946525,105
22,0.10126310131684968,0.00042192958882020985,0.10167965600644936,0.24244826659499885,0.3433646869121212,0.03319806503628085,0.17675893576995405,110
23,0.2167776169802212,0.0010902074288470752,0.13058851905451013,0.11971538832609499,0.3266401350699463,0.01679450072358905,0.18701881331403603,115
24,0.2811011287721694,0.0002441833678875836,0.1288804422944006,0.11236120709513724,0.2455332872609998,0.013296475466482369,0.21724257083621232,120
25,0.2213209733487827,0.0003418308227114718,0.13998261877172574,0.09196987253765804,0.2817352259559678,0.01754345307068366,0.24575318655851494,125
26,0.1783373753705179,0.004324979789814056,0.11316356777148844,0.19321476690918726,0.2686796011856641,0.02066289409862597,0.22071948261923893,130
27,0.12342762063227905,0.000512479201331115,0.08486522462562422,0.31277537437603775,0.27517138103161337,0.01645923460898514,0.18562063227953346,135
28,0.27363746663430905,0.0002062606163552537,0.09889589905362778,0.13295074011162106,0.23261829652996768,0.020798349915069184,0.2396651298228584,140
29,0.13081977878984866,0.0006896551724137913,0.09957059206245722,0.30001951854261233,0.2150314465408786,0.017850791585339643,0.2347993927564505,145
30,0.17341982701264164,0.00047238855622089185,0.11589487691284121,0.17369926813040612,0.2908982035928143,0.019494344644045272,0.22485695276114445,150
